ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
W00080990,266801,10/7/2016,BIOELEVENFLUID,29.85
W00080990,266801,10/7/2016,BIOFOAMFIX,25.5
W00080990,266801,10/7/2016,BSTRIPLEPLAYHS-10,70.5
W00080990,266801,10/7/2016,CHLSH-32,15.95
W00080990,266801,10/7/2016,DEV20-32,33.5
W00080990,266801,10/7/2016,EPA-32,13.5
W00080990,266801,10/7/2016,JABIOMINERALS-10,49
W00080990,266801,10/7/2016,JALYDDEV20-1000ML,16.75
W00080990,266801,10/7/2016,JCH-5N,20.5
W00080990,266801,10/7/2016,JCH-6N,41
W00080990,266801,10/7/2016,JCH-CIOCCOLATA,20.5
W00080990,266801,10/7/2016,JTC-2N,20.5
W00080990,266801,10/7/2016,JTC-6N,20.5
W00080990,266801,10/7/2016,JTC-8N,20.5
W00080990,266801,10/7/2016,JTC-C4,20.5
W00080990,266801,10/7/2016,PLAY GUM,18.8
W00098971,267307,10/20/2016,DEV20-32,16.75
W00098971,267307,10/20/2016,EYHS-10,8.75
W00098971,267307,10/20/2016,FLASH,23.95
W00098971,267307,10/20/2016,JTC-2N,20.5
W00098971,267307,10/20/2016,JTC-3N,20.5
W00098971,267307,10/20/2016,JTC-4N,61.5
W00098971,267307,10/20/2016,JTC-5N,41
W00098971,267307,10/20/2016,JTC-6N,41
W00098971,267307,10/20/2016,JTC-C3,20.5
W00118126,266625,10/4/2016,3 N CASTANO,19.98
W00118126,266625,10/4/2016,5 N CASTANO,19.98
W00118126,266625,10/4/2016,6 D BIONDO,19.98
W00118126,266625,10/4/2016,6 N-6/0 BIONDO,19.98
W00118126,266625,10/4/2016,7 D-7/3,19.98
W00118126,266625,10/4/2016,7 N-7/0 BIONDO,19.98
W00118126,266625,10/4/2016,8 N BIONDO,19.98
W00118126,266625,10/4/2016,9 D BIONDO,19.98
W00118126,266625,10/4/2016,9 N BIONDO,19.98
W00118126,266625,10/4/2016,BIOCOMPRESTSPRAY,20
W00118126,266625,10/4/2016,CRAZYCLRZUCCHERO,29.97
W00118126,266625,10/4/2016,CTW-NSH,16.5
W00118126,267501,10/26/2016,GLZ-16,69
W00118126,266625,10/4/2016,JABIOMINERALS-10,49
W00118126,267501,10/26/2016,UGLZ-16,88.5
W00158207,267160,10/17/2016,COMBK-32,23.5
W00158207,267160,10/17/2016,COMBKCOND-32,21
W00158927,267442,10/25/2016,MHAIRSPRAY-2,16.2
W00158927,267442,10/25/2016,MHAIRSPRAY-8.5,83.4
W00158927,267442,10/25/2016,PAVF-7.5,138
W00232454,267500,10/26/2016,BIOMINOILLEAVEIN-9,9.95
W00232454,267500,10/26/2016,CATALOG2016,0
W00232454,267500,10/26/2016,CHLSH-10,11.5
W00232454,267500,10/26/2016,COMBK-10,15.9
W00232454,267500,10/26/2016,EYHS-10,0
W00232454,267500,10/26/2016,EYHS-32,47
W00232454,267500,10/26/2016,MEDA-8,14.5
W00232454,267500,10/26/2016,PAVF-32,41
W00232454,267500,10/26/2016,PAVF-7.5,23
W00232454,267500,10/26/2016,PROMO F,43.75
W00283565,267049,10/13/2016,CIT-10,47.7
W00283565,267049,10/13/2016,DRIZ-10,47.7
W00283565,267049,10/13/2016,EYHS-10,0
W00283565,267049,10/13/2016,PROMO F,43.75
W00283565,267049,10/13/2016,ROOTB PLUS,59.7
W00308559,266694,10/5/2016,,0
W00308559,266694,10/5/2016,6 N-6/0 BIONDO,9.99
W00308559,266694,10/5/2016,7 N-7/0 BIONDO,19.98
W00308559,266694,10/5/2016,BIOVITAMINS,12.5
W00308559,266694,10/5/2016,BSHS-10,30.75
W00308559,266694,10/5/2016,DEV20-32,16.75
W00308559,266694,10/5/2016,JAFACESFACEWASH-8,9.95
W00308559,266694,10/5/2016,PAVF-7.5,34.5
W00324499,267054,10/13/2016,4 N CASTANO,9.99
W00324499,267054,10/13/2016,8 N BIONDO,19.98
W00324499,267054,10/13/2016,9 N BIONDO,19.98
W00324499,267054,10/13/2016,CIT-32,20.95
W00324499,267054,10/13/2016,DEV20-32,16.75
W00324499,267054,10/13/2016,MESSAGE3,0
W00324499,267054,10/13/2016,SMOOTHIESHAMP-10,15
W00333596,267638,10/31/2016,,0
W00333596,267134,10/17/2016,,0
W00333596,267134,10/17/2016,,0
W00333596,267134,10/17/2016,,0
W00333596,267638,10/31/2016,4 N CASTANO,19.98
W00333596,267134,10/17/2016,4 N CASTANO,29.97
W00333596,267134,10/17/2016,6 C BIONDO,9.99
W00333596,267638,10/31/2016,6 N-6/0 BIONDO,29.97
W00333596,267134,10/17/2016,6 N-6/0 BIONDO,29.97
W00333596,267638,10/31/2016,7 N-7/0 BIONDO,19.98
W00333596,267134,10/17/2016,7 N-7/0 BIONDO,9.99
W00333596,267638,10/31/2016,8 N BIONDO,9.99
W00333596,267638,10/31/2016,BIOFOAMFIX,17
W00333596,267134,10/17/2016,BIOFOAMFIX,17
W00333596,267134,10/17/2016,BIOFOAMFIX,8.5
W00333596,267134,10/17/2016,BVS-3N,16
W00333596,267134,10/17/2016,BVS-3N,8
W00333596,267134,10/17/2016,BVS-4G,8
W00333596,267134,10/17/2016,BVS-4N,8
W00333596,267134,10/17/2016,BVS-4X,16
W00333596,267134,10/17/2016,BVS-4X,8
W00333596,267134,10/17/2016,BVS-5A,8
W00333596,267638,10/31/2016,BVS-5G,8
W00333596,267134,10/17/2016,BVS-5G,8
W00333596,267638,10/31/2016,BVS-5M,8
W00333596,267638,10/31/2016,BVS-6A,8
W00333596,267638,10/31/2016,BVS-6M,8
W00333596,267638,10/31/2016,BVS-7A,8
W00333596,267638,10/31/2016,BVS-7X,8
W00333596,267638,10/31/2016,BVS-8X,8
W00333596,267638,10/31/2016,EYHS-10,17.5
W00333596,267134,10/17/2016,EYHS-10,26.25
W00333596,267134,10/17/2016,EYHS-10,8.75
W00333596,267638,10/31/2016,EYHS-32,23.5
W00333596,267134,10/17/2016,PAVF-7.5,23
W00333596,267638,10/31/2016,SHINE SPRAY,18
W00333596,267134,10/17/2016,TEXCR-10,15
W00342509,267524,10/27/2016,,0
W00342509,267524,10/27/2016,,22.89
W00342509,267524,10/27/2016,,0
W00342509,267524,10/27/2016,,0
W00342509,267524,10/27/2016,,0
W00342509,267524,10/27/2016,,20.79
W00342509,267524,10/27/2016,,0
W00342509,267524,10/27/2016,AAASMOOTHINGSERUM,0
W00342509,267524,10/27/2016,BSINT-4,7.5
W00342509,267524,10/27/2016,BVS-10A,0
W00342509,267524,10/27/2016,BVS-10N,0
W00342509,267524,10/27/2016,BVS-1N,0
W00342509,267524,10/27/2016,BVS-3N,0
W00342509,267524,10/27/2016,BVS-4M,0
W00342509,267524,10/27/2016,BVS-4N,0
W00342509,267524,10/27/2016,BVS-4X,0
W00342509,267524,10/27/2016,BVS-5A,0
W00342509,267524,10/27/2016,BVS-5G,0
W00342509,267524,10/27/2016,BVS-5N,0
W00342509,267524,10/27/2016,BVS-5X,0
W00342509,267524,10/27/2016,BVS-6A,0
W00342509,267524,10/27/2016,BVS-6C,0
W00342509,267524,10/27/2016,BVS-6G,0
W00342509,267524,10/27/2016,BVS-6M,0
W00342509,267524,10/27/2016,BVS-6N,0
W00342509,267524,10/27/2016,BVS-6X,0
W00342509,267524,10/27/2016,BVS-7G,0
W00342509,267524,10/27/2016,BVS-7N,0
W00342509,267524,10/27/2016,BVS-7X,0
W00342509,267524,10/27/2016,BVS-8G,0
W00342509,267524,10/27/2016,BVS-8N,0
W00342509,267524,10/27/2016,BVS-8X,0
W00342509,267524,10/27/2016,BVS-9A,0
W00342509,267524,10/27/2016,BVS-9N,0
W00342509,267524,10/27/2016,BVS-CVBTONER,0
W00342509,267524,10/27/2016,BVS-CVTONER,0
W00342509,267524,10/27/2016,BVS-RED,0
W00342509,267524,10/27/2016,BVS-SWATCHBOOK,0
W00342509,267524,10/27/2016,BVS-ULAB,0
W00342509,267524,10/27/2016,BVS-ULV,0
W00342509,267524,10/27/2016,BVS-VIOLET,0
W00342509,267524,10/27/2016,CASABLANCACOND-1  *,0
W00342509,267524,10/27/2016,CASABLANCAOIL-2,9.5
W00342509,267524,10/27/2016,CASABLANCASHP-1    *,0
W00342509,267524,10/27/2016,CATALOG2016,0
W00342509,267524,10/27/2016,COLORBEAKER,2
W00342509,267524,10/27/2016,DEV10-16,0
W00342509,267524,10/27/2016,DEV20-32,0
W00342509,267524,10/27/2016,DEV40-16,0
W00342509,267524,10/27/2016,ELASTICCAPS-30  *,4.5
W00342509,267524,10/27/2016,JAAPRON,0
W00342509,267524,10/27/2016,JABIOMINERALS-10,0
W00342509,267524,10/27/2016,JACAPESNAP,23
W00342509,267524,10/27/2016,JACOLORBOWL,0
W00342509,267524,10/27/2016,JACOLORBRUSH,0
W00342509,267524,10/27/2016,JAFACESWHITETEA,22
W00342509,267524,10/27/2016,JTC-SCALE          *,34.95
W00342509,267524,10/27/2016,PROMO F,50
W00342509,267524,10/27/2016,PROMO F,20
W00342509,267524,10/27/2016,PROMO F,299
W00342509,267524,10/27/2016,TOPSECRET-8,7.5
W00342509,267524,10/27/2016,TWISTPERM,14.95
W00342509,267524,10/27/2016,VITASHINECOND-8,8.25
W00342509,267524,10/27/2016,VITASHINEHS-8.45,19
W00342509,267524,10/27/2016,VITASHINESHP-32,25.95
W00342509,267524,10/27/2016,VITASHINESHP-8,8.25
W00348405,267045,10/13/2016,BLSAND,23.95
W00348405,267045,10/13/2016,BSHS-10,61.5
W00348405,267045,10/13/2016,BSHSHUMID-10,61.5
W00348405,267045,10/13/2016,CATALOG2016,0
W00348405,267045,10/13/2016,DEV20-32,33.5
W00348405,267045,10/13/2016,FLASH,23.95
W00348405,267045,10/13/2016,GLOVESYNTHETICLG  *,13.9
W00348405,267045,10/13/2016,GLOVESYNTHETICMED  *,13.9
W00348405,267045,10/13/2016,IMBLONDCREAM,19.95
W00348405,267045,10/13/2016,JACAPESNAP,92
W00348405,267045,10/13/2016,OLIGOTHERAPYVIALS-12,40
W00348405,267045,10/13/2016,PAVF-7.5,69
W00349447,266669,10/4/2016,BSHS-10,61.5
W00349447,266669,10/4/2016,CASABLANCAOIL-2,28.5
W00349447,266669,10/4/2016,CIT-10,95.4
W00349447,266669,10/4/2016,DRIZ-10,23.85
W00349447,266669,10/4/2016,FRESHHAIR-10,39
W00349447,266669,10/4/2016,VOLUMIZERCOND-10,21.9
W00349447,266669,10/4/2016,VOLUMIZERCOND-32,20.75
W00349447,266669,10/4/2016,VOLUMIZERSHP-32,41
W00359872,267351,10/21/2016,BSHS-10,246
W00359872,267351,10/21/2016,BSHSHUMID-10,123
W00359872,267351,10/21/2016,CIT-10,95.4
W00359872,267351,10/21/2016,VITASHINEHS-8.45,0
W00362064,267099,10/14/2016,,0
W00362064,266897,10/11/2016,25HOURSUPERSTRONG,0
W00362064,267099,10/14/2016,5 N CASTANO,9.99
W00362064,266897,10/11/2016,AUTMNSPICELOTION-8 *,0
W00362064,266897,10/11/2016,AUTUMNSPICECOND-8 *,0
W00362064,266897,10/11/2016,AUTUMNSPICESHP-8  *,0
W00362064,266897,10/11/2016,CASABLANCAOIL-2,19
W00362064,266897,10/11/2016,CIT-32,41.9
W00362064,266897,10/11/2016,COMBK-10,23.85
W00362064,266897,10/11/2016,ELEVATE7BLEACH,0
W00362064,266897,10/11/2016,MEDA-8,14.5
W00362064,267125,10/16/2016,MEDA-8,14.5
W00362064,266897,10/11/2016,PAVF-32,41
W00362064,266897,10/11/2016,PAVF-7.5,23
W00362064,266897,10/11/2016,PROMO F,15
W00362064,266897,10/11/2016,PROMO F,19.99
W00362064,266897,10/11/2016,STICK-EM-UP,8.95
W00362064,267127,10/16/2016,VITASHINECOND-8,8.25
W00362064,267127,10/16/2016,VITASHINEHS-8.45,9.5
W00362064,267127,10/16/2016,VITASHINESHP-8,8.25
W00368955,267055,10/13/2016,BVS-4N,16
W00368955,267055,10/13/2016,BVS-5A,8
W00368955,267055,10/13/2016,BVS-5G,8
W00368955,267055,10/13/2016,BVS-5M,8
W00368955,267055,10/13/2016,BVS-5N,24
W00368955,267055,10/13/2016,BVS-5R,8
W00368955,267055,10/13/2016,BVS-6G,8
W00368955,267055,10/13/2016,BVS-6N,16
W00368955,267055,10/13/2016,BVS-7C,8
W00368955,267055,10/13/2016,BVS-7N,8
W00368955,267055,10/13/2016,BVS-8N,16
W00368955,267055,10/13/2016,BVS-9A,8
W00368955,267055,10/13/2016,FOILPOPUP500   *,14.95
W00368955,267055,10/13/2016,JABIOMINERALS-3,0
W00368955,267055,10/13/2016,MESSAGE3,0
W00385819,267306,10/20/2016,BVS-5N,8
W00385819,267306,10/20/2016,BVS-6N,8
W00385819,267306,10/20/2016,BVS-7N,8
W00385819,267306,10/20/2016,CHLSH-10,5.75
W00385819,267306,10/20/2016,JABIOMINERALS-10,24.5
W00385819,267306,10/20/2016,PC PUTTY,8.25
W00385819,267306,10/20/2016,VITASHINESHP-8,8.25
W00389486,266781,10/6/2016,DEV20-32,16.75
W00389486,266781,10/6/2016,NHPERM-R,156
W00402400,267085,10/14/2016,,0
W00402400,267085,10/14/2016,6 N-6/0 BIONDO,19.98
W00402400,267085,10/14/2016,7 N-7/0 BIONDO,19.98
W00402400,267085,10/14/2016,8 D BIONDO,9.99
W00402400,267085,10/14/2016,8DR,9.99
W00402400,267085,10/14/2016,900BIONDOULTRACHIARO,19.98
W00402400,267085,10/14/2016,AFIP              *,40
W00402400,267085,10/14/2016,BIOVITAMINS,12.5
W00402400,267085,10/14/2016,BVS-ULAB,16
W00402400,267085,10/14/2016,CASABLANCACOND-8,24.75
W00402400,267085,10/14/2016,COMBK-10,0
W00402400,267085,10/14/2016,DEV10-16,11
W00402400,267085,10/14/2016,DEV20-32,50.25
W00402400,266938,10/11/2016,EDUCATION,75
W00402400,267085,10/14/2016,JAFACESWHITETEA,22
W00402400,267085,10/14/2016,JAG-10,67.2
W00402400,267085,10/14/2016,JTC-4N,20.5
W00402400,267085,10/14/2016,JTC-5N,20.5
W00402400,267085,10/14/2016,JTC-6N,20.5
W00402400,267085,10/14/2016,JTC-7N,20.5
W00402400,267085,10/14/2016,PAVF-7.5,69
W00402400,267085,10/14/2016,ROOTBOOST,59.7
W00402400,267085,10/14/2016,VITASHINESHP-32,25.95
W00402400,267085,10/14/2016,VITASHINESHP-8,49.5
W00402517,266868,10/10/2016,4 N CASTANO,9.99
W00402517,266868,10/10/2016,7 N-7/0 BIONDO,29.97
W00402517,266868,10/10/2016,COMBK-10,0
W00402517,266868,10/10/2016,DEV20-32,16.75
W00402517,266868,10/10/2016,ELEVATE7BLEACH,0
W00402517,266868,10/10/2016,EYHS-10,52.5
W00402517,266868,10/10/2016,GIZERCOND-10,30
W00402517,266868,10/10/2016,GIZERSHP-10,36
W00402517,266868,10/10/2016,PROMO F,19.99
W00406166,267118,10/14/2016,,0
W00406166,267118,10/14/2016,3 N CASTANO,9.99
W00406166,267118,10/14/2016,5 CD,9.99
W00406166,267118,10/14/2016,6 CD,9.99
W00406166,267118,10/14/2016,6 D BIONDO,9.99
W00406166,267118,10/14/2016,6 N-6/0 BIONDO,9.99
W00406166,267118,10/14/2016,6DR-6/34,9.99
W00406166,267118,10/14/2016,7 C BIONDO,9.99
W00406166,267118,10/14/2016,7 D-7/3,9.99
W00406166,267118,10/14/2016,7 N-7/0 BIONDO,9.99
W00406166,267118,10/14/2016,7DR,9.99
W00406166,267118,10/14/2016,7DR,9.99
W00406166,267118,10/14/2016,8 C BIONDO,9.99
W00406166,267118,10/14/2016,8 D BIONDO,9.99
W00406166,267118,10/14/2016,8 N BIONDO,9.99
W00406166,267118,10/14/2016,9 D BIONDO,9.99
W00406166,267118,10/14/2016,9 N BIONDO,9.99
W00406166,267118,10/14/2016,DEV20-32,50.25
W00406166,267118,10/14/2016,DEV40-32,19.5
W00406166,267118,10/14/2016,FOLLIAP SOFTWAX,23.5
W00406166,267118,10/14/2016,GLZSHC-10,5.95
W00406166,267118,10/14/2016,JTC-5N,20.5
W00406166,267118,10/14/2016,JTC-6N,20.5
W00406166,267118,10/14/2016,JTC-8N,20.5
W00406166,267118,10/14/2016,JTC-9N,20.5
W00406166,267118,10/14/2016,JTC-C6,20.5
W00406166,267118,10/14/2016,JTC-C8,20.5
W00406166,267118,10/14/2016,MAP-7,0
W00406166,267118,10/14/2016,PROMO F,47.5
W00420064,267522,10/26/2016,BSHSHUMID-10,10.25
W00420064,267522,10/26/2016,BVS-5N,8
W00420064,267522,10/26/2016,BVS-6N,8
W00420064,267522,10/26/2016,BVS-7N,8
W00420064,267522,10/26/2016,CASABLANCAOIL-2,28.5
W00420064,267522,10/26/2016,CATALOG2016,0
W00420064,267522,10/26/2016,COOL-IT,10.5
W00420064,267522,10/26/2016,FOLLIAP XTRAFIX,9.5
W00420064,267522,10/26/2016,JABIOMINERALS-10,24.5
W00420064,267522,10/26/2016,JCH-IC3-MORGANO,20.5
W00420064,267522,10/26/2016,PURESHAMP-32,22.95
W00420064,267522,10/26/2016,VOLWHIPMOUSSE-8.5,15.2
W00421621,267565,10/27/2016,,8.1
W00421621,267565,10/27/2016,,16.2
W00421621,267565,10/27/2016,,27.45
W00421621,267565,10/27/2016,,18.3
W00421621,267565,10/27/2016,,25.65
W00421621,267565,10/27/2016,,16.2
W00421621,267565,10/27/2016,,17.1
W00421621,266947,10/11/2016,,0
W00421621,267564,10/27/2016,BIOCOMPHYDCOND-250,9
W00421621,267564,10/27/2016,BIOELEVENFLUID,39.8
W00421621,267565,10/27/2016,BIOMINOILLEAVEIN-2,0
W00421621,267564,10/27/2016,BIOMINOILLEAVEIN-9,19.9
W00421621,267564,10/27/2016,BIOVITATINCOND-10,17.9
W00421621,267564,10/27/2016,BIOVITATINSHP-10,17.9
W00421621,267564,10/27/2016,BSTRIPLEPLAYHS-10,11.75
W00421621,266594,10/3/2016,BVS-4G,8
W00421621,267565,10/27/2016,BVS-4N,8
W00421621,266594,10/3/2016,BVS-4N,8
W00421621,266594,10/3/2016,BVS-6G,8
W00421621,267565,10/27/2016,BVS-6N,16
W00421621,266594,10/3/2016,BVS-6N,8
W00421621,267565,10/27/2016,BVS-6R,8
W00421621,267565,10/27/2016,BVS-7N,16
W00421621,267565,10/27/2016,BVS-7R,8
W00421621,267565,10/27/2016,BVS-8N,16
W00421621,267565,10/27/2016,BVS-9N,8
W00421621,267564,10/27/2016,CASABLANCAFOAM-8,19.5
W00421621,267564,10/27/2016,CCON-10,16.5
W00421621,267564,10/27/2016,CEA-10,5.75
W00421621,267565,10/27/2016,DEV10-32,16.75
W00421621,267565,10/27/2016,DEV20-32,16.75
W00421621,266594,10/3/2016,DEV20-32,16.75
W00421621,266947,10/11/2016,EDUCATION,75
W00421621,267565,10/27/2016,ENERGYCREAM,18.95
W00421621,267565,10/27/2016,FRESHHAIR-2,0
W00421621,267564,10/27/2016,GIZERSHP-10,12
W00421621,267565,10/27/2016,GLZSHCX-2,0
W00421621,267564,10/27/2016,JABIOMINERALS-10,24.5
W00421621,267564,10/27/2016,MEDA-8,7.25
W00421621,267564,10/27/2016,MESSAGE3,0
W00421621,267565,10/27/2016,MESSAGE3,0
W00421621,267564,10/27/2016,PC PUTTY,16.5
W00421621,266594,10/3/2016,PUMP-16            *,0
W00421621,267565,10/27/2016,PURECOND-2,0
W00421621,267565,10/27/2016,PURESHAMP-2,0
W00421621,267565,10/27/2016,SOFABULOUSSHP-2,0
W00421621,266594,10/3/2016,SXNEUTRO,19.98
W00421621,267565,10/27/2016,TEXCR-2,0
W00421621,267565,10/27/2016,TWISTPERM,14.95
W00421621,267564,10/27/2016,VITASHINESHP-32,25.95
W00421621,267564,10/27/2016,VOLUMESPRAY,9.25
W00421621,267564,10/27/2016,VOLUMIZERSHP-10,7.25
W00423163,267471,10/26/2016,AUTMNSPICELOTION-8 *,0
W00423163,267471,10/26/2016,AUTUMNSPICECOND-8 *,0
W00423163,267471,10/26/2016,AUTUMNSPICESHP-8  *,0
W00423163,267471,10/26/2016,BSKIWI-34,15.95
W00423163,267471,10/26/2016,CHLSH-32,15.95
W00423163,267471,10/26/2016,JTC-5N,20.5
W00423163,267471,10/26/2016,JTC-6N,20.5
W00423163,267471,10/26/2016,JTC-C1,20.5
W00423163,267471,10/26/2016,PROMO F,15
W00426019,267366,10/21/2016,BVS-CONCENTMAHOG,20
W00426019,267366,10/21/2016,BVS-CONCENTVIOLET,20
W00426019,267366,10/21/2016,FOLLIAP CURLYCHAOS,38.25
W00426019,267366,10/21/2016,FOLLIAP FIZZYCURLY,27.3
W00426019,267366,10/21/2016,FOLLIAP JET,33.75
W00426019,267366,10/21/2016,FOLLIAP VOLUMEUP,26.85
W00426019,267366,10/21/2016,SHUGAHAIRSPRAY    *,33
W00442978,267620,10/28/2016,BSHS-10,123
W00469127,266649,10/4/2016,,0
W00469127,266649,10/4/2016,,0
W00469127,267423,10/25/2016,BIOELEVENFLUID,39.8
W00469127,266649,10/4/2016,BSHS-10,41
W00469127,266649,10/4/2016,BVS-6N,8
W00469127,267423,10/25/2016,BVS-6R,8
W00469127,267423,10/25/2016,BVS-8N,8
W00469127,267423,10/25/2016,BVS-9N,16
W00469127,267423,10/25/2016,CEALEAVEINCOND-10,13
W00469127,266649,10/4/2016,CHLSH-32,47.85
W00469127,266649,10/4/2016,CIT-32,20.95
W00469127,267423,10/25/2016,IMBLONDCREAM,19.95
W00469127,266649,10/4/2016,NHPERM-R,13
W00469127,266649,10/4/2016,TWISTPERM,29.9
W00469127,266649,10/4/2016,VOLDURAFINI-10,35
W00469127,266649,10/4/2016,VOLDURAFINI-32,23.5
W00469127,267423,10/25/2016,VOLWHIPMOUSSE-8.5,15.2
W00481522,266599,10/3/2016,5 C CASTANO,9.99
W00481522,266599,10/3/2016,5 N CASTANO,9.99
W00481522,266599,10/3/2016,5 R CASTANO,9.99
W00481522,266599,10/3/2016,6 C BIONDO,9.99
W00481522,266599,10/3/2016,6 D BIONDO,19.98
W00481522,266599,10/3/2016,6 N-6/0 BIONDO,29.97
W00481522,266599,10/3/2016,7 C BIONDO,39.96
W00481522,266599,10/3/2016,7 D-7/3,19.98
W00481522,266599,10/3/2016,7 N-7/0 BIONDO,29.97
W00481522,266599,10/3/2016,7DR,9.99
W00481522,266599,10/3/2016,8 C BIONDO,59.94
W00481522,266599,10/3/2016,8 D BIONDO,9.99
W00481522,266599,10/3/2016,8 N BIONDO,59.94
W00481522,266599,10/3/2016,8DR,19.98
W00481522,266599,10/3/2016,9 C BIOND,29.97
W00481522,266599,10/3/2016,9 N BIONDO,19.98
W00481522,266599,10/3/2016,DARINGCOLOR-ROSSO,13.9
W00481522,266599,10/3/2016,DEV10-32,16.75
W00481522,266599,10/3/2016,DEV20-32,33.5
W00481522,266599,10/3/2016,MESSAGE4,0
W00481522,266599,10/3/2016,RED OR ROUGE,13.9
W00488081,267237,10/19/2016,10 N BIONDO,9.99
W00488081,267237,10/19/2016,5 N CASTANO,19.98
W00488081,267237,10/19/2016,7 N-7/0 BIONDO,19.98
W00488081,267237,10/19/2016,8 N BIONDO,19.98
W00488081,267237,10/19/2016,BSHSHUMID-2  *,14.85
W00488081,267237,10/19/2016,JTC-C1,82
W00488081,267237,10/19/2016,JTC-C2,20.5
W00489155,266995,10/12/2016,AUTMNSPICELOTION-8 *,0
W00489155,266995,10/12/2016,AUTUMNSPICECOND-8 *,0
W00489155,266995,10/12/2016,AUTUMNSPICESHP-8  *,0
W00489155,266995,10/12/2016,BSHS-10,61.5
W00489155,266995,10/12/2016,ELEVATE7BLEACH,0
W00489155,266995,10/12/2016,FIT SPRAY-10,7.95
W00489155,266995,10/12/2016,PROMO F,15
W00489155,266995,10/12/2016,PROMO F,19.99
W00489155,266995,10/12/2016,ROOTBOOST,19.9
W00489155,266995,10/12/2016,VITASHINEHS-8.45,19
W00489155,266995,10/12/2016,VOLUMIZERSHP-10,7.25
W00508928,266740,10/5/2016,DEV20-32,16.75
W00508928,266740,10/5/2016,GIZER-10,7
W00508928,266740,10/5/2016,NHPERM-C,19.5
W00508928,266740,10/5/2016,NHPERM-G,13
W00508928,266740,10/5/2016,NHPERM-R,26
W00545463,267545,10/27/2016,,0
W00545463,267545,10/27/2016,,0
W00545463,267545,10/27/2016,BIOVITATINCOND-10,17.9
W00545463,267545,10/27/2016,BIOVITATINSHP-10,17.9
W00545463,267076,10/14/2016,CIT-10,47.7
W00545463,267076,10/14/2016,EYHS-10,0
W00545463,267545,10/27/2016,KERATINCHOCOLATE-16,125
W00545463,267076,10/14/2016,MESSAGE6,0
W00545463,267076,10/14/2016,PROMO F,43.75
W00547278,267176,10/18/2016,BIOFOAMFIX,8.5
W00547278,267176,10/18/2016,BIOVITATINSHP-10,8.95
W00547278,267176,10/18/2016,BVS-7N,8
W00547278,267176,10/18/2016,BVS-7X,8
W00547278,267176,10/18/2016,BVS-9N,16
W00547278,267176,10/18/2016,DEV20-32,16.75
W00547278,267176,10/18/2016,JTC-8N,20.5
W00547278,267176,10/18/2016,SMOOTHIEKERASHINE-4,6.95
W00547278,267176,10/18/2016,SMOOTHIESUPERSTRT-10,9.25
W00547531,267353,10/21/2016,CIT-32,41.9
W00547531,267353,10/21/2016,MESSAGE2,0
W00562487,266832,10/7/2016,BLSAND,23.95
W00562487,266832,10/7/2016,BSHS-10,10.25
W00562487,266832,10/7/2016,ROOTB PLUS,19.9
W00562487,266832,10/7/2016,ROOTBOOST,19.9
W00562487,266832,10/7/2016,SOFABULOUSCOND-10,7.95
W00562487,266832,10/7/2016,VOLUMESPRAY,9.25
W00567833,267675,10/31/2016,7 N-7/0 BIONDO,19.98
W00567833,267675,10/31/2016,8 N BIONDO,19.98
W00567833,267675,10/31/2016,BSHSHUMID-2  *,118.8
W00567833,267675,10/31/2016,ENERGYCREAM,37.9
W00567833,267675,10/31/2016,JABIOMINERALS-10,24.5
W00567833,267675,10/31/2016,JTC-C2,20.5
W00582649,267750,10/30/2016,,0
W00582649,267750,10/30/2016,25HOURSUPERSTRONG,0
W00582649,267750,10/30/2016,CHLSH-128,43.95
W00582649,267750,10/30/2016,GLZSHC-128,43.95
W00582649,267750,10/30/2016,JCH-7N,20.5
W00582649,267750,10/30/2016,JCH-SXN,20.5
W00582649,267750,10/30/2016,PROMO F,92.5
W00583310,266684,10/5/2016,,0
W00583310,267450,10/25/2016,,0
W00583310,266684,10/5/2016,25HOURSUPERSTRONG,9.25
W00583310,266684,10/5/2016,BIOELEVENFLUID,19.9
W00583310,266684,10/5/2016,BIOMIN3,8.95
W00583310,267450,10/25/2016,BIOMINOILLEAVEIN-2,0
W00583310,266684,10/5/2016,BLSAND,23.95
W00583310,266684,10/5/2016,BVS-8N,8
W00583310,266684,10/5/2016,BVS-CONCENTCOPP,20
W00583310,266684,10/5/2016,BVS-CONCENTGOLD,20
W00583310,266684,10/5/2016,BVS-CONCENTMAHOG,20
W00583310,267450,10/25/2016,CHLSH-2,0
W00583310,266684,10/5/2016,CIT-10,23.85
W00583310,267450,10/25/2016,DEV20-4,0
W00583310,267450,10/25/2016,DISCCLASSFOLDER,0
W00583310,267450,10/25/2016,DISCLASSSHEARS,0
W00583310,267450,10/25/2016,DURAGL-2,0
W00583310,266684,10/5/2016,ENDWRAP-J          *,14.95
W00583310,266684,10/5/2016,FRESHHAIR-10,6.5
W00583310,267450,10/25/2016,K-BVS41PCKITSTANDARD,0
W00583310,267450,10/25/2016,K-DISCKIT2016     *,0
W00583310,267450,10/25/2016,MESSAGE1,0
W00583310,266684,10/5/2016,MESSAGE3,0
W00583310,267450,10/25/2016,SINGLEBIOMINOIL,0
W00587168,267576,10/27/2016,,0
W00587168,267576,10/27/2016,,10.5
W00587168,266784,10/6/2016,,0
W00587168,266743,10/5/2016,,0
W00587168,266743,10/5/2016,,50
